************************************************************************************************************************************
 Flux distribution  (/cm^2/50MeV/10^{21}POT) 
 Enu bin (GeV) 	 numu 	 numubar 	 nue 	 nuebar 
 Nue fractional covariance matrix 
 7 bins (GeV): 0-0.5	 0.5-0.7	 0.7-0.8	 0.8-1.5	 1.5-2.5	 2.5-4.0	 4.0-30.0  
************************************************************************************************************************************
	 0 	 1 	 2 	 3 	 4 	 5 	 6 	 
6 	  0.00674216 	 0.00655204 	 0.00770853 	 0.00684648 	 0.00656376 	 0.00814295 	 0.01201968 	
5 	  0.00711128 	 0.00719337 	 0.00808454 	 0.00828366 	 0.00783626 	 0.00848649 	 0.00814295 	
4 	  0.00803432 	 0.00895569 	 0.01069760 	 0.01102972 	 0.01016737 	 0.00783626 	 0.00656376 	
3 	  0.00917843 	 0.01108585 	 0.01476789 	 0.01393183 	 0.01102972 	 0.00828366 	 0.00684648 	
2 	  0.01055377 	 0.01293341 	 0.01838008 	 0.01476789 	 0.01069760 	 0.00808454 	 0.00770853 	
1 	  0.01238380 	 0.01254012 	 0.01293341 	 0.01108585 	 0.00895569 	 0.00719337 	 0.00655204 	
0 	  0.01427154 	 0.01238380 	 0.01055377 	 0.00917843 	 0.00803432 	 0.00711128 	 0.00674216 	
************************************************************************************************************************************
 Nuebar fractional covariance matrix 
 2 bins (GeV): 0-2.5	 2.5-30.0  
************************************************************************************************************************************
	 0 	 1 	 
1 	  0.02702884 	 0.03568084 	
0 	  0.02310033 	 0.02702884 	
************************************************************************************************************************************
