GlobalXbin    GlobalYbin    Z
5    36    3.285694885716544e-05
5    37    2.902047562773385e-05
5    38    2.742366352700377e-05
5    39    2.690733705512686e-05
5    40    2.735408420738671e-05
5    41    3.006151714274184e-05
5    42    3.865916669964471e-05
5    43    4.859521728720255e-05
5    44    3.594363958125441e-05
5    45    3.937951219067218e-05
5    46    4.651995841759206e-05
5    47    5.367545375363938e-05
5    48    5.50462640837418e-05
5    49    5.231897712082805e-05
5    50    4.789294835721232e-05
5    51    4.678426739897657e-05
5    52    4.751908969756367e-05
5    53    4.953910574566421e-05
5    54    5.482439546562718e-05
5    55    6.760241760548515e-05
5    56    9.183318387624428e-05
5    57    0.0001299499103703236
5    58    0.0001833887455835998
5    59    0.0002554257398465853
5    60    0.0003338760328171544
5    61    0.0001329909117766839
5    62    0.0001603457390329064
5    63    0.0001117398090977597
5    64    4.144966154175814e-06
5    65    5.81118921610275e-05
5    66    5.957537264508367e-05
5    67    0.0001014568645519307
5    68    4.290050748290524e-05
5    69    1.448903307336988e-05
5    70    0.0001905082868091849
5    71    0.0001969894166352292
5    72    0.0001525851377431875
5    73    0.0001471184289772345
5    74    1.639670673679806e-05
5    75    -6.127843598308497e-05
5    76    -7.372788951040127e-05
5    77    0.0001082431979552555
5    78    6.464677698748873e-05
5    79    0.0001385362125084637
5    80    0.0002312731857289836
5    81    0.000308964310568704
5    82    0.0004242566434255252
5    83    0.0005468237319037003
5    84    0.0005960351609529379
6    0    -0.0006631975705144841
6    1    -0.0003158301528216266
6    2    0.0005807527381859437
6    3    0.0004678290771343734
6    4    0.0005006227732546879
6    5    0.0006692660473628234
6    6    0.007330956554174571
6    7    0.003888082308534948
6    8    0.004199208536149189
6    9    0.001884368566422468
6    10    0.001604322331309214
6    11    0.0003907415297880081
6    12    0.007279320399106968
6    13    0.005322405709557413
6    14    0.004760276753037205
6    15    0.004928134624587101
6    16    0.00358774205676206
6    17    0.002336490420841735
6    18    0.00190611622365746
6    19    0.001721156180182987
6    20    0.0006302604853656625
6    21    0.0001993724066033969
6    22    0.0002572698020311474
6    23    0.0003302355545241177
6    24    0.0004213318691963276
6    25    0.000521688134689326
6    26    0.0006603508791062641
